,model,superposition_ratio,masking_ratio,log_likelihood
302,slm_sparse_150epochs,1.0,0.4,-488586.8125
303,slm_sparse_150epochs,1.0,0.45,-488586.8125
304,slm_sparse_150epochs,1.0,0.5,-488586.8125
305,slm_sparse_150epochs,1.0,0.55,-488586.8125
306,slm_sparse_150epochs,1.0,0.6000000000000001,-488586.8125
307,slm_sparse_150epochs,1.0,0.65,-488586.8125
308,slm_sparse_150epochs,1.0,0.7000000000000001,-488586.8125
309,slm_sparse_150epochs,1.0,0.75,-488586.8125
310,slm_sparse_150epochs,1.0,0.8,-488586.8125
311,slm_sparse_150epochs,1.0,0.8500000000000001,-488586.8125
312,slm_sparse_150epochs,1.0,0.9,-488586.8125
313,slm_sparse_150epochs,1.0,0.9500000000000001,-488586.8125
314,slm_sparse_150epochs,1.0,1.0,-488586.8125
315,mlm_50epochs,0.0,0.0,0.0
316,mlm_50epochs,0.0,0.05,-496.55169677734375
317,mlm_50epochs,0.0,0.1,-1817.7645263671875
318,mlm_50epochs,0.0,0.15000000000000002,-4070.006591796875
319,mlm_50epochs,0.0,0.2,-9356.64453125
320,mlm_50epochs,0.0,0.25,-17206.30859375
321,mlm_50epochs,0.0,0.30000000000000004,-31329.837890625
322,mlm_50epochs,0.0,0.35000000000000003,-53802.453125
323,mlm_50epochs,0.0,0.4,-89887.9375
324,mlm_50epochs,0.0,0.45,-120251.40625
325,mlm_50epochs,0.0,0.5,-169946.8125
326,mlm_50epochs,0.0,0.55,-217691.53125
327,mlm_50epochs,0.0,0.6000000000000001,-279893.84375
328,mlm_50epochs,0.0,0.65,-341365.84375
329,mlm_50epochs,0.0,0.7000000000000001,-408351.90625
330,mlm_50epochs,0.0,0.75,-468858.5625
331,mlm_50epochs,0.0,0.8,-531088.125
332,mlm_50epochs,0.0,0.8500000000000001,-579296.375
333,mlm_50epochs,0.0,0.9,-622182.0625
334,mlm_50epochs,0.0,0.9500000000000001,-658765.8125
335,mlm_50epochs,0.0,1.0,-693893.625
336,mlm_50epochs,0.25,0.0,-246419.59375
337,mlm_50epochs,0.25,0.05,-268292.5
338,mlm_50epochs,0.25,0.1,-285991.25
339,mlm_50epochs,0.25,0.15000000000000002,-309937.28125
340,mlm_50epochs,0.25,0.2,-329929.59375
341,mlm_50epochs,0.25,0.25,-352577.09375
342,mlm_50epochs,0.25,0.30000000000000004,-375633.3125
343,mlm_50epochs,0.25,0.35000000000000003,-397188.09375
344,mlm_50epochs,0.25,0.4,-420624.6875
345,mlm_50epochs,0.25,0.45,-445641.875
346,mlm_50epochs,0.25,0.5,-465977.71875
347,mlm_50epochs,0.25,0.55,-486685.34375
348,mlm_50epochs,0.25,0.6000000000000001,-509801.375
349,mlm_50epochs,0.25,0.65,-532768.0
350,mlm_50epochs,0.25,0.7000000000000001,-556323.375
351,mlm_50epochs,0.25,0.75,-580532.375
352,mlm_50epochs,0.25,0.8,-603086.75
353,mlm_50epochs,0.25,0.8500000000000001,-626031.8125
354,mlm_50epochs,0.25,0.9,-647657.1875
355,mlm_50epochs,0.25,0.9500000000000001,-670689.875
356,mlm_50epochs,0.25,1.0,-693893.625
357,mlm_50epochs,0.5,0.0,-403383.875
358,mlm_50epochs,0.5,0.05,-416077.375
359,mlm_50epochs,0.5,0.1,-432874.5
360,mlm_50epochs,0.5,0.15000000000000002,-442973.375
361,mlm_50epochs,0.5,0.2,-456145.0
362,mlm_50epochs,0.5,0.25,-471333.375
363,mlm_50epochs,0.5,0.30000000000000004,-485210.75
364,mlm_50epochs,0.5,0.35000000000000003,-498670.875
365,mlm_50epochs,0.5,0.4,-515638.1875
366,mlm_50epochs,0.5,0.45,-528951.125
367,mlm_50epochs,0.5,0.5,-544263.3125
368,mlm_50epochs,0.5,0.55,-559869.5
369,mlm_50epochs,0.5,0.6000000000000001,-575435.0
370,mlm_50epochs,0.5,0.65,-590979.0625
371,mlm_50epochs,0.5,0.7000000000000001,-605600.9375
372,mlm_50epochs,0.5,0.75,-619473.8125
373,mlm_50epochs,0.5,0.8,-634698.25
374,mlm_50epochs,0.5,0.8500000000000001,-650470.75
375,mlm_50epochs,0.5,0.9,-665546.25
376,mlm_50epochs,0.5,0.9500000000000001,-679462.0
377,mlm_50epochs,0.5,1.0,-693893.625
378,mlm_50epochs,0.75,0.0,-521968.8125
379,mlm_50epochs,0.75,0.05,-529714.625
380,mlm_50epochs,0.75,0.1,-537586.875
381,mlm_50epochs,0.75,0.15000000000000002,-541321.3125
382,mlm_50epochs,0.75,0.2,-545213.25
383,mlm_50epochs,0.75,0.25,-545674.625
384,mlm_50epochs,0.75,0.30000000000000004,-555132.0625
385,mlm_50epochs,0.75,0.35000000000000003,-564231.5625
386,mlm_50epochs,0.75,0.4,-586733.625
387,mlm_50epochs,0.75,0.45,-585565.1875
388,mlm_50epochs,0.75,0.5,-584666.0
389,mlm_50epochs,0.75,0.55,-596166.375
390,mlm_50epochs,0.75,0.6000000000000001,-603740.875
391,mlm_50epochs,0.75,0.65,-618417.875
392,mlm_50epochs,0.75,0.7000000000000001,-635069.75
393,mlm_50epochs,0.75,0.75,-640763.625
394,mlm_50epochs,0.75,0.8,-652984.625
395,mlm_50epochs,0.75,0.8500000000000001,-669158.3125
396,mlm_50epochs,0.75,0.9,-677449.0
397,mlm_50epochs,0.75,0.9500000000000001,-686673.25
398,mlm_50epochs,0.75,1.0,-693893.625
399,mlm_50epochs,1.0,0.0,-693893.625
400,mlm_50epochs,1.0,0.05,-693893.625
401,mlm_50epochs,1.0,0.1,-693893.625
402,mlm_50epochs,1.0,0.15000000000000002,-693893.625
403,mlm_50epochs,1.0,0.2,-693893.625
404,mlm_50epochs,1.0,0.25,-693893.625
405,mlm_50epochs,1.0,0.30000000000000004,-693893.625
406,mlm_50epochs,1.0,0.35000000000000003,-693893.625
407,mlm_50epochs,1.0,0.4,-693893.625
408,mlm_50epochs,1.0,0.45,-693893.625
409,mlm_50epochs,1.0,0.5,-693893.625
410,mlm_50epochs,1.0,0.55,-693893.625
411,mlm_50epochs,1.0,0.6000000000000001,-693893.625
412,mlm_50epochs,1.0,0.65,-693893.625
413,mlm_50epochs,1.0,0.7000000000000001,-693893.625
414,mlm_50epochs,1.0,0.75,-693893.625
415,mlm_50epochs,1.0,0.8,-693893.625
416,mlm_50epochs,1.0,0.8500000000000001,-693893.625
417,mlm_50epochs,1.0,0.9,-693893.625
418,mlm_50epochs,1.0,0.9500000000000001,-693893.625
419,mlm_50epochs,1.0,1.0,-693893.625
420,mlm_100epochs,0.0,0.0,0.0
421,mlm_100epochs,0.0,0.05,-457.7520446777344
422,mlm_100epochs,0.0,0.1,-1363.70751953125
423,mlm_100epochs,0.0,0.15000000000000002,-4062.5341796875
424,mlm_100epochs,0.0,0.2,-8634.916015625
425,mlm_100epochs,0.0,0.25,-15468.703125
426,mlm_100epochs,0.0,0.30000000000000004,-27952.96484375
427,mlm_100epochs,0.0,0.35000000000000003,-43949.71875
428,mlm_100epochs,0.0,0.4,-71645.7578125
429,mlm_100epochs,0.0,0.45,-112933.6875
430,mlm_100epochs,0.0,0.5,-154263.0
431,mlm_100epochs,0.0,0.55,-209972.5
432,mlm_100epochs,0.0,0.6000000000000001,-274477.625
433,mlm_100epochs,0.0,0.65,-356632.125
434,mlm_100epochs,0.0,0.7000000000000001,-419534.5
435,mlm_100epochs,0.0,0.75,-491550.125
436,mlm_100epochs,0.0,0.8,-556938.75
437,mlm_100epochs,0.0,0.8500000000000001,-617187.125
438,mlm_100epochs,0.0,0.9,-675046.625
439,mlm_100epochs,0.0,0.9500000000000001,-723284.875
440,mlm_100epochs,0.0,1.0,-650288.4375
441,mlm_100epochs,0.25,0.0,-265287.8125
442,mlm_100epochs,0.25,0.05,-274760.1875
443,mlm_100epochs,0.25,0.1,-290686.34375
444,mlm_100epochs,0.25,0.15000000000000002,-303990.9375
445,mlm_100epochs,0.25,0.2,-305888.125
446,mlm_100epochs,0.25,0.25,-313420.375
447,mlm_100epochs,0.25,0.30000000000000004,-312896.5625
448,mlm_100epochs,0.25,0.35000000000000003,-300193.125
449,mlm_100epochs,0.25,0.4,-321559.875
450,mlm_100epochs,0.25,0.45,-300765.1875
451,mlm_100epochs,0.25,0.5,-331597.25
452,mlm_100epochs,0.25,0.55,-373255.6875
453,mlm_100epochs,0.25,0.6000000000000001,-400667.90625
454,mlm_100epochs,0.25,0.65,-436930.125
455,mlm_100epochs,0.25,0.7000000000000001,-443904.0
456,mlm_100epochs,0.25,0.75,-497928.5
457,mlm_100epochs,0.25,0.8,-533168.875
458,mlm_100epochs,0.25,0.8500000000000001,-566698.75
459,mlm_100epochs,0.25,0.9,-591894.25
460,mlm_100epochs,0.25,0.9500000000000001,-621831.625
461,mlm_100epochs,0.25,1.0,-650288.4375
462,mlm_100epochs,0.5,0.0,-398230.90625
463,mlm_100epochs,0.5,0.05,-406932.3125
464,mlm_100epochs,0.5,0.1,-406832.5625
465,mlm_100epochs,0.5,0.15000000000000002,-402566.1875
466,mlm_100epochs,0.5,0.2,-410368.5625
467,mlm_100epochs,0.5,0.25,-424725.625
